40889	295
44022	82
10092	152
2471	698
9800	83
9561	126
38208	118
32528	35
3015	2260
16920	18
16271	25
10528	28
28193	21
16868	53
2572	1613
11437	11
33886	195
1200	1471
13812	83
17231	51
3153	124
2710	227
2903	368
16972	118
2718	1409
43444	54
38478	335
2913	1096
508	1337
32035	141
46265	3
744	457
3455	392
1838	55
1944	176
612	424
3025	531
13674	131
36506	6
21387	231
28516	141
13247	25
713	481
26416	6
25634	346
3429	61
1715	616
8775	18
30081	243
709	115
24435	130
596	2047
13703	154
25312	102
18366	250
13894	561
1330	711
18318	182
3082	98
30267	16
24041	40
3043	738
1259	1581
40526	96
35251	73
16276	3
44870	44
29696	45
18412	16
24040	79
30165	23
25958	51
17428	10
1730	177
28654	11
1190	281
16970	14
31677	110
653	152
657	895
17998	99
1788	597
24115	55
22771	62
1004	746
1985	1411
10097	4
23542	416
31308	140
21413	956
14124	20
47818	7
30055	48
23840	159
13482	103
732	1870
1999	32
3068	374
24857	7
37150	6
36138	2
1521	391
43965	53
19233	124
9902	18
34332	18
27536	135
12739	78
33034	17
16519	102
2997	429
2875	278
1615	47
46922	19
12928	61
44782	3
27506	3
3413	1
25607	442
24560	56
35916	44
2345	826
3302	700
597	154
20818	396
2500	735
25694	52
1949	29
34802	220
15820	26
48825	11
2690	150
2625	379
31446	237
24488	775
15544	187
9092	90
1269	212
23873	129
42150	19
26014	124
16684	91
15648	643
13589	37
3383	652
34828	18
38480	312
19172	14
14205	102
32491	28
8994	775
1555	136
8805	109
12385	450
19450	41
32185	5
861	22
1036	97
3596	225
3020	146
1745	61
572	46
7680	656
795	12
29222	40
32448	11
18363	11
21442	678
20773	23
457	1062
16444	104
24271	148
11852	44
7937	4
37176	47
1416	855
1157	271
29734	14
34033	334
34796	4
1747	220
29730	7
29525	67
23059	123
38880	1
18088	2
24733	18
16743	187
30002	351
8896	322
42072	89
30258	110
15653	158
15000	93
9060	24
26088	306
25492	1
33676	239
35244	159
42763	161
38280	59
8418	46
1155	1100
24685	165
23142	73
7448	157
16506	8
18345	49
36248	8
27799	28
25079	116
8223	4
25722	87
23075	1
25166	1
2299	16
30073	40
18016	11
25159	40
855	422
27768	24
2309	15
876	68
8866	10
2508	37
31225	192
3175	3
2587	101
11858	21
10609	63
13253	9
8007	18
32861	155
34364	197
7612	28
8169	11
35216	3
2872	50
5172	2
42472	46
3844	63
3835	50
336	14
2800	67
7931	219
926	275
3103	574
31704	53
24188	52
29953	85
50090	1
30066	298
1604	78
33687	64
3318	278
20219	21
1374	478
41151	42
24310	409
28952	203
27976	60
18375	41
22534	38
341	240
2505	17
24719	95
10900	378
8727	183
8918	49
39538	17
1583	281
2584	118
44400	11
44874	14
668	150
24118	4
3277	1
14146	17
2921	16
16904	177
29602	14
20800	1
3460	154
742	18
3301	96
3073	78
1974	62
2428	109
39009	11
37042	1
22185	199
24818	1
11054	31
2715	217
38721	40
644	374
35656	12
9785	14
29623	4
18484	1
14025	18
24495	125
9781	10
27732	15
16983	56
8362	31
10022	43
17430	8
8768	99
961	275
11070	497
24830	12
19572	241
27646	531
3445	557
10006	14
29825	63
31012	10
50688	6
43823	2
7892	3
47712	1
42704	4
48486	18
28381	1
13434	42
32518	202
28047	12
2878	560
9620	49
42680	159
40740	32
16747	27
9608	135
42592	4
12574	3
10369	406
29762	321
491	385
19464	13
30802	146
479	402
2890	18
1078	18
1313	21
39238	7
34703	424
7548	143
24311	64
28946	2
1490	47
1678	47
34572	2
1265	26
40459	40
11034	6
28325	34
31036	151
18316	166
3028	35
2714	13
31591	82
8594	473
20656	29
28966	41
2133	30
29632	62
39301	10
23803	19
2033	245
29992	96
30628	94
9242	322
2938	390
26699	7
2000	597
34834	159
18132	8
14893	275
2220	292
3194	8
27414	140
1091	42
10217	2
36767	1
629	2
2475	12
35443	41
42655	131
40819	397
2280	96
455	45
36037	16
3478	47
333	102
41389	115
1099	242
8891	261
30611	26
1407	235
3401	64
13963	37
15357	350
8525	93
40004	10
15656	3
35190	20
16234	30
26155	312
8976	272
18500	63
31457	5
9652	106
16461	4
18174	15
3196	78
31424	63
892	93
9209	13
12578	16
670	49
1345	23
18395	184
991	312
28638	4
16907	462
23145	33
34179	732
19183	2
12085	178
14591	10
8989	31
3007	37
379	133
1068	33
886	499
30871	52
27905	11
2266	23
7807	150
20306	137
973	138
43644	14
28329	77
32810	107
28185	3
31817	38
19605	15
22361	4
18347	26
18663	88
32903	17
14605	33
21109	143
30284	21
31209	16
3298	131
2821	178
9999	111
50276	13
31582	123
19612	164
26810	7
10134	19
32031	3
16508	57
17449	43
1803	25
2559	239
2644	13
26177	9
32619	17
15729	40
13109	55
27647	366
25995	113
25944	89
7570	381
17415	25
19587	42
24546	49
31602	69
9981	96
38486	266
13652	10
31297	9
2915	4
623	5
26134	46
36532	30
8961	9
41503	16
28069	54
25404	53
739	523
10340	62
17167	10
14457	16
16678	114
36192	11
1963	50
30331	34
3367	153
1077	113
15349	57
22259	20
31428	1
20364	77
2257	57
47161	28
29200	21
2827	229
44448	4
1024	220
22077	13
40759	10
2989	140
16590	47
19772	14
13003	163
26355	9
46528	8
35179	9
2237	324
44610	7
13332	34
1282	141
1837	93
50850	10
2421	302
40129	3
9504	11
554	8
1334	12
34771	65
33749	113
17257	118
9633	14
24960	3
1542	171
9507	35
34650	61
36512	132
27946	98
39098	37
14327	48
31930	70
23527	9
38205	25
25800	18
29435	84
2156	19
35209	3
43689	2
35485	6
24022	587
30600	5
43996	7
9423	14
41611	25
2914	32
9098	14
24586	5
23919	5
3237	95
34435	23
24702	250
3070	36
3981	262
2085	429
2722	79
18014	1
2704	4
1391	21
1464	4
18499	83
23976	14
40761	4
1799	2
3437	1
19773	1
29437	34
2396	62
1278	167
16231	161
2273	49
40530	1
2521	11
2871	1
